"Gênero","Raça","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","Escore"
"Feminino","PARDA",3,5,3,3,3,4,5,3,4,3,4,3,5,4,5,3,3,4,5,4,4,5,4,5,3,4,5,3,4,4,4,3,4,3,5,4,5,5,5,4,136.0
"Feminino","PRETO",3,5,4,3,3,5,4,3,5,4,5,3,5,5,4,3,4,3,4,3,4,3,4,3,3,5,4,4,4,4,4,3,5,3,5,3,3,4,5,3,131.0
"Feminino","PARDA",3,3,5,2,3,3,4,1,4,1,5,1,5,3,5,3,4,4,5,3,5,5,5,5,3,3,5,5,5,4,5,1,4,3,5,5,4,3,5,4,130.0
"Feminino","PARDA",3,5,3,4,1,5,2,2,4,3,4,2,5,3,4,4,4,3,4,5,3,5,4,3,3,3,5,2,3,3,5,4,4,3,5,5,4,5,5,4,123.0
"Feminino","PRETO",3,4,5,2,3,3,4,3,5,4,5,3,5,3,4,3,3,3,4,3,3,3,3,3,4,3,5,4,4,3,4,3,3,4,5,3,4,3,5,3,125.0
"Feminino","BRANCA",2,4,4,2,2,2,1,4,5,2,2,4,5,4,4,2,5,4,5,3,4,4,5,2,2,4,4,5,5,4,5,2,5,5,5,1,5,5,5,1,127.0
"Feminino","PARDA",3,4,4,3,2,2,4,3,5,3,5,2,4,3,5,3,4,3,5,2,2,3,5,3,3,4,4,3,4,3,4,3,5,3,5,3,4,3,5,2,123.0
"Feminino","PARDA",3,4,4,3,3,4,3,2,5,3,4,4,4,4,4,2,4,3,4,2,3,4,4,3,2,4,4,2,4,4,4,2,3,3,5,4,3,4,5,3,118.0
"Masculino","PARDA",3,4,4,2,3,5,3,3,5,4,5,2,4,4,5,4,3,2,4,1,1,5,4,3,2,5,4,3,2,4,4,3,5,4,5,1,4,4,5,1,122.0
"Feminino","BRANCA",3,4,4,3,3,4,3,2,5,4,5,3,4,3,5,1,5,3,4,3,3,4,3,3,3,3,3,3,4,3,3,1,5,3,4,4,3,5,5,3,116.0
"Feminino","PARDA",4,5,4,3,1,4,4,2,4,4,5,3,4,3,5,2,3,3,4,4,2,3,5,3,4,2,4,2,3,2,4,2,4,3,4,4,3,2,5,5,116.0
"Feminino","PARDA",1,4,4,1,4,1,4,3,3,3,5,1,5,4,5,3,3,3,5,5,3,3,4,3,1,3,5,5,5,3,5,1,3,4,5,1,4,1,5,5,118.0
"Masculino","BRANCA",3,4,3,1,3,2,3,3,5,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,3,3,1,4,4,4,1,4,4,4,5,3,3,4,5,3,117.0
"Feminino","PARDA",3,2,3,3,3,3,3,4,5,3,4,3,5,3,4,3,3,3,4,3,4,4,5,3,2,3,3,3,4,3,3,3,4,3,4,3,3,3,4,4,118.0
"Feminino","PARDA",3,4,3,1,1,4,3,3,5,4,4,1,5,3,5,3,4,3,4,3,3,3,4,3,3,4,4,3,4,3,4,3,4,3,5,4,4,1,5,1,114.0
"Masculino","BRANCA",2,4,4,2,3,3,4,3,5,3,4,3,4,4,3,3,2,4,4,1,3,3,4,3,1,4,5,4,4,4,5,1,4,2,5,3,4,3,5,1,117.0
"Feminino","PARDA",3,4,3,3,3,4,4,1,5,4,5,2,4,1,4,5,3,4,5,3,2,1,5,4,2,4,5,3,4,3,2,3,3,4,5,2,3,2,4,2,114.0
"Feminino","BRANCA",4,3,3,1,4,3,3,3,5,3,4,3,5,4,4,2,3,3,4,3,4,3,4,3,2,3,4,3,4,3,4,2,5,3,3,3,4,3,4,1,113.0
